Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
09/10/2021,09/10/2021 12:00,0.75,,,,
09/10/2021,09/10/2021 14:00,1.75,,,,
09/10/2021,09/10/2021 15:00,0.75,,,,
09/10/2021,09/10/2021 16:00,0.75,,,,
09/10/2021,09/10/2021 17:00,0.75,,,,
09/10/2021,09/10/2021 19:00,1.75,,,,
09/10/2021,09/10/2021 21:00,1.75,,,,
09/10/2021,09/10/2021 22:00,0.75,,,,
09/10/2021,09/10/2021 23:00,0.75,,,,
10/10/2021,10/10/2021 13:00,1,,,,
10/10/2021,10/10/2021 14:00,0.75,,,,
10/10/2021,10/10/2021 15:00,0.75,,,,
10/10/2021,10/10/2021 19:00,1,,,,
10/10/2021,10/10/2021 20:00,0.75,,,,
10/10/2021,10/10/2021 21:00,0.75,,,,
10/10/2021,10/10/2021 22:00,0.75,,,,
11/10/2021,11/10/2021 02:00,2,,,,
11/10/2021,11/10/2021 08:00,5.75,,,,
11/10/2021,11/10/2021 09:00,0.75,,,,
11/10/2021,11/10/2021 23:00,13.75,,,,
11/10/2021,12/10/2021 00:00,0.75,,,,
12/10/2021,12/10/2021 02:00,1.75,,,,
12/10/2021,12/10/2021 08:00,5.75,,,,
12/10/2021,12/10/2021 09:00,0.75,,,,
12/10/2021,12/10/2021 23:00,13.75,,,,
12/10/2021,13/10/2021 00:00,0.75,,,,
13/10/2021,13/10/2021 02:00,1.75,,,,
13/10/2021,13/10/2021 08:00,5.75,,,,
13/10/2021,13/10/2021 09:00,0.75,,,,
13/10/2021,13/10/2021 10:00,0.75,,,,
13/10/2021,13/10/2021 12:00,1.75,,,,
13/10/2021,13/10/2021 18:00,5.75,,,,
13/10/2021,13/10/2021 21:00,2.75,,,,
13/10/2021,13/10/2021 22:00,0.75,,,,
13/10/2021,13/10/2021 23:00,0.75,,,,
13/10/2021,14/10/2021 00:00,0.75,,,,
14/10/2021,14/10/2021 02:00,1.75,,,,
14/10/2021,14/10/2021 08:00,5.75,,,,
14/10/2021,14/10/2021 18:00,9.75,,,,
14/10/2021,14/10/2021 19:00,0.75,,,,
14/10/2021,14/10/2021 21:00,1.75,,,,
14/10/2021,14/10/2021 23:00,1.75,,,,
14/10/2021,15/10/2021 00:00,0.75,,,,
15/10/2021,15/10/2021 02:00,1.75,,,,
15/10/2021,15/10/2021 08:00,5.75,,,,
15/10/2021,15/10/2021 09:00,0.75,,,,
15/10/2021,15/10/2021 10:00,0.75,,,,
15/10/2021,15/10/2021 22:00,11.75,,,,
15/10/2021,15/10/2021 23:00,0.75,,,,
16/10/2021,16/10/2021 02:00,2,,,,
16/10/2021,16/10/2021 08:00,5.75,,,,
16/10/2021,16/10/2021 23:00,14.75,,,,
16/10/2021,17/10/2021 00:00,0.75,,,,
17/10/2021,17/10/2021 02:00,1.75,,,,
17/10/2021,17/10/2021 08:00,5.75,,,,
17/10/2021,17/10/2021 13:00,4.75,,,,
17/10/2021,17/10/2021 14:00,0.75,,,,
17/10/2021,17/10/2021 18:00,3.75,,,,
17/10/2021,17/10/2021 22:00,3.75,,,,
17/10/2021,17/10/2021 23:00,0.75,,,,
17/10/2021,18/10/2021 00:00,0.75,,,,
18/10/2021,18/10/2021 02:00,1.75,,,,
18/10/2021,18/10/2021 08:00,5.75,,,,
18/10/2021,18/10/2021 18:00,9.75,,,,
18/10/2021,18/10/2021 19:00,0.75,,,,
18/10/2021,18/10/2021 22:00,2.75,,,,
18/10/2021,18/10/2021 23:00,0.75,,,,
18/10/2021,19/10/2021 00:00,0.75,,,,
19/10/2021,19/10/2021 02:00,1.75,,,,
19/10/2021,19/10/2021 08:00,5.75,,,,
19/10/2021,19/10/2021 23:00,14.75,,,,
