Outage Start,Outage End,Duration (hours),Weather Event Date,Weather Event,Wind scale,RES
25/12/2015,25/12/2015 17:15,4.75,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 15:00,14.25,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 06:45,1,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 07:15,0.75,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 08:45,1.25,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 09:45,1,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 15:00,5.5,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 16:30,4.5,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 16:15,1.5,23/12/2015,Eva,Storm,4
26/12/2015,26/12/2015 22:00,7,23/12/2015,Eva,Storm,4
26/12/2015,30/12/2015 14:00,93.75,23/12/2015,Eva,Storm,4
26/12/2015,27/12/2015 17:45,21.75,23/12/2015,Eva,Storm,4
27/12/2015,28/12/2015 10:15,16.75,23/12/2015,Eva,Storm,4
28/12/2015,28/12/2015 19:45,9.5,23/12/2015,Eva,Storm,4
28/12/2015,28/12/2015 19:45,2.25,23/12/2015,Eva,Storm,4
28/12/2015,28/12/2015 20:45,1.25,23/12/2015,Eva,Storm,4
28/12/2015,28/12/2015 22:30,2.5,23/12/2015,Eva,Storm,4
28/12/2015,29/12/2015 16:00,19.25,23/12/2015,Eva,Storm,4
28/12/2015,29/12/2015 02:15,4,23/12/2015,Eva,Storm,4
29/12/2015,30/12/2015 03:45,18.25,23/12/2015,Eva,Storm,4
29/12/2015,29/12/2015 16:30,3.5,23/12/2015,Eva,Storm,4
29/12/2015,29/12/2015 19:00,2.75,23/12/2015,Eva,Storm,4
29/12/2015,29/12/2015 23:30,4.5,23/12/2015,Eva,Storm,4
29/12/2015,30/12/2015 06:45,11.75,23/12/2015,Eva,Storm,4
29/12/2015,29/12/2015 20:00,0.75,23/12/2015,Eva,Storm,4
29/12/2015,29/12/2015 23:30,3.75,23/12/2015,Eva,Storm,4
30/12/2015,31/12/2015 01:30,21.75,30/12/2015,Frank,Storm,4
30/12/2015,30/12/2015 12:15,5.75,30/12/2015,Frank,Storm,4
30/12/2015,30/12/2015 15:15,1.5,30/12/2015,Frank,Storm,4
30/12/2015,01/01/2016 01:00,34,30/12/2015,Frank,Storm,4
30/12/2015,01/01/2016 10:45,38.75,30/12/2015,Frank,Storm,4
31/12/2015,01/01/2016 18:30,41.25,30/12/2015,Frank,Storm,4
31/12/2015,31/12/2015 22:00,2.5,30/12/2015,Frank,Storm,4
31/12/2015,01/01/2016 05:45,8.5,30/12/2015,Frank,Storm,4
31/12/2015,05/01/2016 20:00,118,30/12/2015,Frank,Storm,4
01/01/2016,04/01/2016 15:45,86.75,30/12/2015,Frank,Storm,4
01/01/2016,02/01/2016 09:45,32.75,30/12/2015,Frank,Storm,4
01/01/2016,01/01/2016 07:00,1.5,30/12/2015,Frank,Storm,4
01/01/2016,01/01/2016 12:00,5,30/12/2015,Frank,Storm,4
01/01/2016,01/01/2016 19:45,2.25,30/12/2015,Frank,Storm,4
01/01/2016,01/01/2016 22:45,4.75,30/12/2015,Frank,Storm,4
01/01/2016,01/01/2016 23:45,4.25,30/12/2015,Frank,Storm,4
01/01/2016,04/01/2016 15:00,65.25,30/12/2015,Frank,Storm,4
01/01/2016,02/01/2016 01:45,2.25,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 23:45,22.25,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 17:30,8.5,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 14:00,4.5,30/12/2015,Frank,Storm,4
02/01/2016,05/01/2016 11:45,69.75,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 20:30,4.5,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 18:45,0.75,30/12/2015,Frank,Storm,4
02/01/2016,02/01/2016 19:00,1,30/12/2015,Frank,Storm,4
02/01/2016,05/01/2016 10:00,61.75,30/12/2015,Frank,Storm,4
02/01/2016,03/01/2016 17:30,17.75,30/12/2015,Frank,Storm,4
03/01/2016,07/01/2016 17:00,95.75,30/12/2015,Frank,Storm,4
03/01/2016,07/01/2016 10:45,86,30/12/2015,Frank,Storm,4
04/01/2016,21/01/2016 09:15,403.5,30/12/2015,Frank,Storm,4
04/01/2016,04/01/2016 22:00,7,30/12/2015,Frank,Storm,4
04/01/2016,05/01/2016 13:45,22.25,30/12/2015,Frank,Storm,4
04/01/2016,06/01/2016 14:45,40.75,30/12/2015,Frank,Storm,4
05/01/2016,05/01/2016 21:30,11.5,30/12/2015,Frank,Storm,4
05/01/2016,07/01/2016 15:15,51.75,30/12/2015,Frank,Storm,4
05/01/2016,08/01/2016 22:00,80.25,30/12/2015,Frank,Storm,4
05/01/2016,06/01/2016 18:15,22.5,30/12/2015,Frank,Storm,4
05/01/2016,06/01/2016 13:00,15.5,30/12/2015,Frank,Storm,4
06/01/2016,06/01/2016 11:15,2,30/12/2015,Frank,Storm,4
06/01/2016,07/01/2016 14:15,20,30/12/2015,Frank,Storm,4
29/01/2016,30/01/2016 01:00,24.75,29/01/2016,Gertrude,Storm,4
29/01/2016,30/01/2016 01:00,17.75,29/01/2016,Gertrude,Storm,4
29/01/2016,30/01/2016 01:00,17.75,29/01/2016,Gertrude,Storm,4
29/01/2016,30/01/2016 01:00,14.75,29/01/2016,Gertrude,Storm,4
29/01/2016,30/01/2016 01:00,7.25,29/01/2016,Gertrude,Storm,4
30/01/2016,31/01/2016 01:00,12,29/01/2016,Gertrude,Storm,4
30/01/2016,31/01/2016 01:00,7,29/01/2016,Gertrude,Storm,4
31/01/2016,01/02/2016 01:00,12,29/01/2016,Gertrude,Storm,4
31/01/2016,02/02/2016 01:00,30.75,29/01/2016,Gertrude,Storm,4
01/02/2016,02/02/2016 01:00,22,01/02/2016,Henry,Storm,3
01/02/2016,02/02/2016 01:00,16.75,01/02/2016,Henry,Storm,3
01/02/2016,02/02/2016 01:00,12.75,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,24.75,01/02/2016,Henry,Storm,3
02/02/2016,02/02/2016 07:15,0.75,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,18,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,18,01/02/2016,Henry,Storm,3
02/02/2016,02/02/2016 19:15,1,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,6.75,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,6,01/02/2016,Henry,Storm,3
02/02/2016,03/02/2016 01:00,6,01/02/2016,Henry,Storm,3
03/02/2016,04/02/2016 01:00,18,01/02/2016,Henry,Storm,3
03/02/2016,03/02/2016 13:30,1.5,01/02/2016,Henry,Storm,3
04/02/2016,04/02/2016 12:45,1.25,01/02/2016,Henry,Storm,3
04/02/2016,04/02/2016 16:45,0.75,01/02/2016,Henry,Storm,3
05/02/2016,06/02/2016 01:00,17,01/02/2016,Henry,Storm,3
05/02/2016,05/02/2016 17:15,1,01/02/2016,Henry,Storm,3
05/02/2016,05/02/2016 17:15,0.75,01/02/2016,Henry,Storm,3
05/02/2016,06/02/2016 01:00,8,01/02/2016,Henry,Storm,3
07/02/2016,07/02/2016 13:00,0.75,01/02/2016,Henry,Storm,3
08/02/2016,09/02/2016 01:00,16,08/02/2016,Imogen,Storm,3
08/02/2016,09/02/2016 01:00,13,08/02/2016,Imogen,Storm,3
08/02/2016,09/02/2016 01:00,5.75,08/02/2016,Imogen,Storm,3
09/02/2016,10/02/2016 01:00,19.75,08/02/2016,Imogen,Storm,3
09/02/2016,09/02/2016 09:30,1.25,08/02/2016,Imogen,Storm,3
09/02/2016,10/02/2016 01:00,12.75,08/02/2016,Imogen,Storm,3
09/02/2016,10/02/2016 01:00,5.75,08/02/2016,Imogen,Storm,3
09/02/2016,10/02/2016 01:00,3.75,08/02/2016,Imogen,Storm,3
10/02/2016,11/02/2016 01:00,19.75,08/02/2016,Imogen,Storm,3
10/02/2016,11/02/2016 01:00,17,08/02/2016,Imogen,Storm,3
10/02/2016,10/02/2016 09:45,0.75,08/02/2016,Imogen,Storm,3
10/02/2016,11/02/2016 01:00,14,08/02/2016,Imogen,Storm,3
10/02/2016,11/02/2016 01:00,5,08/02/2016,Imogen,Storm,3
11/02/2016,12/02/2016 01:00,13,08/02/2016,Imogen,Storm,3
12/02/2016,13/02/2016 01:00,22.75,08/02/2016,Imogen,Storm,3
12/02/2016,13/02/2016 01:00,15,08/02/2016,Imogen,Storm,3
12/02/2016,13/02/2016 01:00,11,08/02/2016,Imogen,Storm,3
12/02/2016,13/02/2016 01:00,9,08/02/2016,Imogen,Storm,3
12/02/2016,13/02/2016 01:00,5,08/02/2016,Imogen,Storm,3
12/02/2016,14/02/2016 01:00,26,08/02/2016,Imogen,Storm,3
13/02/2016,14/02/2016 01:00,21,08/02/2016,Imogen,Storm,3
13/02/2016,14/02/2016 01:00,8.75,08/02/2016,Imogen,Storm,3
